"tipoSigla","descricao","ativa","genero","disponivel"
"RQP","Requerimento de Plenário","True","o","erro"
"RRC","Relatório de Receita","True","o","ok"
"RRL","Relatório do Relator","True","o","ok"
"RST","Redação para o segundo turno","True","a","ok"
"SBE","Subemenda","True","a","erro"
"SBE-A","Subemenda Adotada pela Comissão","True","a","erro"
"SBR","Subemenda de Relator","True","a","erro"
"SBT","Substitutivo","True","o","erro"
"SBT-A","Substitutivo adotado pela Comissão","True","o","erro"
"SDL","Sugestão de Emenda à LDO - CLP","True","a","erro"
"SIP","Solicitação para instauração de processo","True","a","ok"
"SIT","Solicitação de Informação ao TCU","True","a","ok"
"SLD","Sugestão de Emenda à LDO - Comissões","True","a","ok"
"SOA","Sugestão de Emenda ao Orçamento - CLP","True","a","ok"
"SOR","Sugestão de Emenda ao Orçamento - Comissões","True","a","ok"
"SPA","Sugestão de Emenda ao PPA - CLP","True","a","erro"
"SPA-R","Sugestão de Emenda ao PPA - revisão (CLP)","True","a","erro"
"SPP","Sugestão de Emenda ao PPA - Comissões","True","a","erro"
"SPP-R","Sugestão de Emenda ao PPA - revisão (Comissões)","True","o","erro"
"SRL","Sugestão de Emenda a Relatório","True","a","ok"
"SSP","Subemenda Substitutiva de Plenário","True","a","erro"
"SUC","Sugestão a Projeto de Consolidação de Leis","True","a","erro"
"SUG","Sugestão","True","a","ok"
"SUM","Súmula","True","a","erro"
"TER","Termo de Implementação","True","o","erro"
"TVR","Ato de Concessão e Renovação de Concessão de Emissora de Rádio e Televisão","True","a","ok"
"VTS","Voto em Separado","True","o","erro"
