"id","nome","numero","ano","datApresentacao","txtEmenta","txtExplicacaoEmenta","qtdAutores","indGenero","qtdOrgaosComEstado","tipoProposicao.id","tipoProposicao.sigla","tipoProposicao.nome","orgaoNumerador.id","orgaoNumerador.sigla","orgaoNumerador.nome","codRegime","txtRegime","apreciacao.id","txtApreciacao","txtNomeAutor","idecadastro","codPartido","txtSiglaPartido","txtSiglaUF","datDespacho","txtDespacho","situacao.id","situacao.descricao","codOrgaoEstado","siglaOrgaoEstado","codProposicaoPrincipal","proposicaoPrincipal"
"17896","PL 2280/1999","2280","1999","16/12/1999","Autoriza o Instituto Nacional do Seguro Social a doar imóvel que especifica a entidade denominada Tempo Glauber.","Entidade que tem a finalidade de divulgar as obras do cineasta Glauber Rocha.
","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Poder Executivo","
      ","
      ","
      ","
      ","04/02/2000","DESPACHO INICIAL A CSSF, CTASP E CCJR (ARTIGO 54 DO RI) - ARTIGO 24, II.","923","Arquivada","4","MESA      ","0","
        "
"17898","PL 2282/1999","2282","1999","16/12/1999","Autoriza o Instituto Nacional do Seguro Social a doar imóvel que especifica ao Município de Antonina - PR.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","21","Urgência (Art. 155, RICD)","5","Proposição Sujeita à Apreciação do Plenário","Poder Executivo","
      ","
      ","
      ","
      ","04/02/2000","DESPACHO INICIAL A CSSF, CTASP E CCJR (ARTIGO 54 DO RI) - ARTIGO 24, II.","923","Arquivada","4","MESA      ","0","
        "
"17900","PL 2283/1999","2283","1999","16/12/1999","Autoriza o Instituto Nacional do Seguro Social a doar imóvel que especifica à União Brasileira de Escritores.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Poder Executivo","
      ","
      ","
      ","
      ","04/02/2000","DESPACHO INICIAL A CSSF, CTASP E CCJR (ARTIGO 54 DO RI) - ARTIGO 24, II.","1140","Transformado em Norma Jurídica","4","MESA      ","0","
        "
"17901","PL 2285/1999","2285","1999","16/12/1999","Institui o Dia Nacional de Luta pela Reforma Agrária e dá outras providências.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","SENADO FEDERAL - MARINA SILVA","
      ","
      ","PT        ","AC","14/02/2000","DESPACHO INICIAL: À CECD E CCJR (ARTIGO 54 DO RI) - ARTIGO 24, II.","1140","Transformado em Norma Jurídica","4","MESA      ","0","
        "
"17903","PL 2286/1999","2286","1999","16/12/1999","Dispõe sobre a criação de selo comemorativo da Semana Nacional da Criança Excepcional e dá outras providências.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Senado Federal - Moreira Mendes","
      ","
      ","PFL       ","RO","14/02/2000","DESPACHO INICIAL A CSSF, CCTCI E CCJR (ARTIGO 54 DO RI) - ARTIGO 24, II.","926","Aguardando Apreciação pelo Senado Federal","4","MESA      ","0","
        "
"17905","PL 2288/1999","2288","1999","16/12/1999","Institui o Dia Nacional do Idoso.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Senado Federal - Luiz Estevão","
      ","
      ","PMDB      ","DF","11/02/2000","DESPACHO  INICIAL À CECD E CCJR (ARTIGO 54 DO RI) - ARTIGO 24, II.","923","Arquivada","4","MESA      ","0","
        "
"25362","PL 2281/1999","2281","1999","16/12/1999","Autoriza o Instituto Nacional do Seguro Social a doar imóvel que especifica ao Município de Recife - PE.","Imóvel onde foi construído o parque da Jaqueira.
","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","21","Urgência (Art. 155, RICD)","5","Proposição Sujeita à Apreciação do Plenário","Poder Executivo","
      ","
      ","
      ","
      ","04/02/2000","Despacho inicial às CSSF, CTASP e CCJR (Artigo 54 do RI) - Artigo 24, II.","1140","Transformado em Norma Jurídica","4","MESA      ","0","
        "
"25364","PL 2284/1999","2284","1999","16/12/1999","Dispõe sobre o tombamento do antigo estúdio da Rádio Nacional, no Rio de Janeiro, e sua transformação em Museu da História do Rádio no Brasil.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Senado Federal - Artur da Tavola","
      ","
      ","PSDB      ","RJ","04/02/2000","DESPACHO INICIAL A  CECD E CCJR (ARTIGO 54 DO RI) - ARTIGO 24, II.","923","Arquivada","4","MESA      ","0","
        "
"25365","PL 2287/1999","2287","1999","16/12/1999","Altera o art. 1.611 da Lei nº 3.071, de 1º de janeiro de 1916 - Código Civil, estendendo o benefício do § 2º ao filho necessitado portador de deficiência.","Estende o direito real de habitação, relativamente ao imóvel destinado a residência da família desde que seja o único bem a inventariar.
","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Senado Federal - Edison Lobão","
      ","
      ","PFL       ","MA","14/02/2000","DESPACHO INICIAL A CCJR - ARTIGO 24, II.","1140","Transformado em Norma Jurídica","4","MESA      ","0","
        "
"25357","PL 2250/1999","2250","1999","15/12/1999","Altera a redação do parágrafo único do art. 2º do Decreto-Lei nº 227, de 28 de fevereiro de 1967, com a redação dada pelo art. 1º da Lei nº 9.827, de 27 de agosto de 1999.","Autoriza o poder público a extrair substâncias minerais onde quer que ocorram, independentemente da existência de títulos minerários ou pretendentes de qualquer natureza, desde que sejam utilizadas, imediatamente, na construção civil.
","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Edinho Bez","73793","111","PMDB      ","SC","14/02/2000","DESPACHO INICIAL À CME E CCJR (ARTIGO 54 DO RI) - ARTIGO 24, II.","923","Arquivada","4","MESA      ","0","
        "
