"id","nome","numero","ano","datApresentacao","txtEmenta","txtExplicacaoEmenta","qtdAutores","indGenero","qtdOrgaosComEstado","tipoProposicao.id","tipoProposicao.sigla","tipoProposicao.nome","orgaoNumerador.id","orgaoNumerador.sigla","orgaoNumerador.nome","codRegime","txtRegime","apreciacao.id","txtApreciacao","txtNomeAutor","idecadastro","codPartido","txtSiglaPartido","txtSiglaUF","datDespacho","txtDespacho","situacao.id","situacao.descricao","codOrgaoEstado","siglaOrgaoEstado","codProposicaoPrincipal","proposicaoPrincipal"
"225092","PL 4882/1998","4882","1998","15/12/1998","Altera a Lei nº 7.102, de 20 de junho de 1983, modificada pela Lei nº 8.863, de 28 de março de 1994 e pela Lei nº 9.017, de 30 de março de 1995 e dá outras providências.","Exige que qualquer estabelecimento público e privado onde haja guarda de valores ou movimentação de numerário tenha plano e sistema de segurança; dispõe que as empresas de segurança privada, vigilância e transporte de valores apresentem uma série de documentos para sua constituição.","1","o","0","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","JOANA DARC","
      ","134","PT        ","MG","
      ","
      ","
      ","
      ","
        ","
        ","0","
        "
"21185","PL 4880/1998","4880","1998","15/12/1998","Dá nova redação ao § 3º, do art. 3º, da Lei nº 9.424, de 24 de dezembro de 1996.","Dispõe que a instituição financeira creditará os recursos oriundos do ICMS, aos beneficiarios do Fundef, nas mesmas datas definidas para os repasses do citado imposto.
","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Márcio Reinaldo Moreira","74744","116","PPB       ","MG","28/04/2009","Tendo em vista a vigência da Emenda Constitucional nº 53, de 2006, de 19 de dezembro de 2006, que dá nova redação aos arts. 7º, 23, 30, 206, 208, 211 e 212 da Constituição Federal e ao art. 60 do Ato das Disposições Constitucionais Transitórias, e da Lei 11.494, de 2007, de 20 de junho de 2007,  que regulamenta o Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB, de que trata o art. 60 do Ato das Disposições Constitucionais Transitórias; altera a Lei no 10.195, de 14 de fevereiro de 2001; revoga dispositivos das Leis nos 9.424, de 24 de dezembro de 1996, 10.880, de 9 de junho de 2004, e 10.845, de 5 de março de 2004; e dá outras providências, declaro, nos termos do art. 164, inciso II, do Regimento Interno da Câmara dos Deputados, a prejudicialidade das Proposta de Emenda à Constituição nºs 502/06, 342/01, 467/01, 174/03, 97/03, 23/03, 173/03, 204/03, 232/00, 428/01 e dos Projetos de Lei nºs 4222/98, 136/03, 4244/98, 4280/98, 4763/98, 1/99, 431/99, 4676/98, 4758/98, 5195/01, 4045/01, 6052/02, 747/99 e 4880/98. Publique-se.
DCD de 29/04/09 PÁG 15555 COL 02.","923","Arquivada","4","MESA      ","20747","PL 4222/1998"
"21188","PL 4881/1998","4881","1998","15/12/1998","Obriga os empregadores a manter medidas preventivas contra acidentes de trabalho e dá outras providências.","Altera o Decreto-lei nº 5.452, de 1943.","2","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","5","Proposição Sujeita à Apreciação do Plenário","JOANA DARC","
      ","134","PT        ","MG","13/01/1999","A CSSF, CTASP E CCJR.(DESPACHO INICIAL)","923","Arquivada","4","MESA      ","0","
        "
"62629","PL 4878/1998","4878","1998","10/12/1998 15:34:00","Altera dispositivos da Lei nº 9.504, de 30 de setembro de 1997, quanto às pesquisas e testes pré-eleitorais.","Obrigando as empresas a que realizarem pesquisa eleitoral a registrar, junto à Justiça Eleitoral, informações sobre a identificação dos entrevistadores, destacando o número da carteira de identidade, CPF, endereço e telefone; exigindo que as empresas coloquem à disposição dos partidos políticos ou coligações, em meio magnético ou impresso, os resultados da pesquisa, ao mesmo tempo que os entregam aos meios de comunicações.","3","o","2","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","5","Proposição Sujeita à Apreciação do Plenário","MILTON MENDES","
      ","
      ","PT        ","SC","19/01/1999","Apense-se ao PL-4788/1998.(DESPACHO INICIAL)","923","Prioridade (Art. 151, II, RICD)","4","Diversos  ","21132","PL 4788/1998"
"21184","PL 4877/1998","4877","1998","10/12/1998","Altera a sistemática de pagamento do décimo terceiro salário.
","Possibilita ao empregador pagar a gratificação de Natal entre os meses de fevereiro e novembro, por ocasião do aniversário ou férias do empregado.
","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","ADEMIR CUNHA","
      ","106","PFL       ","PE","19/01/1999","DESPACHO INICIAL : APENSE-SE AO PL. 1211/95.","923","Arquivada","4","MESA      ","16408","PL 1211/1995"
"225043","PL 4875/1998","4875","1998","10/12/1998","Altera o art. 1º, ""caput"", da Lei nº 9.608, de 18 de fevereiro de1998, que dispõe sobre o serviço voluntário e dá outras providências.","Considera como serviço voluntário, a atividade não remunerada, prestada a qualquer entidade objetivando a defesa ambiental e a qualidade de vida.","1","o","0","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","PAULO HESLANDER","
      ","136","PTB       ","MG","
      ","
      ","
      ","
      ","
        ","
        ","0","
        "
"225050","PL 4876/1998","4876","1998","10/12/1998","Concede aos integrantes da força de paz designado para atuar em São Domingos (FAIBRAS) pensão correspondente ao soldo de primeiro sargento.","
    ","1","o","0","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","OSMAR LEITÃO","
      ","116","PPB       ","RJ","
      ","
      ","
      ","
      ","
        ","
        ","0","
        "
"225072","PL 4879/1998","4879","1998","10/12/1998","Define critérios para a fixação de cotas de fornecimento de gás natural às empresas distribuidoras.","Fixa cotas de fornecimento e privilegiando os estados onde o gás natural é produzido.","1","o","0","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","JOÃO MENDES","74849","116","PPB       ","RJ","
      ","
      ","
      ","
      ","
        ","
        ","0","
        "
"224991","PL 4868/1998","4868","1998","08/12/1998","Dispõe sobre o exercício profissional do agente comunitário de saúde.","
    ","1","o","0","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","5","Proposição Sujeita à Apreciação do Plenário","PAULO HESLANDER","
      ","136","PTB       ","MG","19/01/1999","APENSE-SE AO PL. 3604/98.","
      ","
      ","
        ","
        ","0","
        "
"224998","PL 4869/1998","4869","1998","08/12/1998","Altera o § 3ºdo art. 20 do Código de Processo Civil (Lei nº 5.869, de 11 de novembro de 1973).","Dispõe que os honorários devidos serão cumulativamente  fixados, em cada instância, entre o mínimo de 5% (cinco por cento) e o máximo de 15% (quinze por cento), sobre o valor da condenação.","1","o","0","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","PAULO HESLANDER","
      ","136","PTB       ","MG","
      ","
      ","
      ","
      ","
        ","
        ","0","
        "
