"id","nome","numero","ano","datApresentacao","txtEmenta","txtExplicacaoEmenta","qtdAutores","indGenero","qtdOrgaosComEstado","tipoProposicao.id","tipoProposicao.sigla","tipoProposicao.nome","orgaoNumerador.id","orgaoNumerador.sigla","orgaoNumerador.nome","codRegime","txtRegime","apreciacao.id","txtApreciacao","txtNomeAutor","idecadastro","codPartido","txtSiglaPartido","txtSiglaUF","datDespacho","txtDespacho","situacao.id","situacao.descricao","codOrgaoEstado","siglaOrgaoEstado","codProposicaoPrincipal","proposicaoPrincipal"
"533517","PL 3079/2011","3079","2011","29/12/2011 14:36:00","Altera os arts. 20 e 22 da Lei nº 8.212, de 24 de julho de 1991, para instituir isenção da contribuição destinada à Seguridade Social nos casos de contratação realizada conforme a política de reinserção social prevista no Sistema Nacional de Políticas Públicas sobre Drogas (Sisnad).","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Senado Federal - Waldemir Moka","
      ","
      ","PMDB      ","MS","31/01/2012 10:53:00","Às Comissões de 
Segurança Pública e Combate ao Crime Organizado; 
Seguridade Social e Família; 
Finanças e Tributação (Mérito e Art. 54, RICD) e 
Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, II
Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II
Regime de Tramitação: Prioridade
","924","Pronta para Pauta","2014","CSSF      ","0","
        "
"533518","PL 3080/2011","3080","2011","29/12/2011 14:36:00","Altera o art. 12 da Lei nº 9.250, de 26 de dezembro de 1995, para permitir que o desconto da contribuição patronal do imposto de renda das pessoas físicas seja feito em dobro se o empregado doméstico houver frequentado instituição de ensino.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Senado Federal - Cristovam Buarque","
      ","
      ","PDT       ","DF","31/01/2012 10:53:00","Às Comissões de 
Finanças e Tributação (Mérito e Art. 54, RICD) e 
Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, II. Apense-se a este PL-6045/2009.
Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II
Regime de Tramitação: Prioridade
","907","Aguardando Designação de Relator","2010","CFT       ","0","
        "
"533519","PL 3081/2011","3081","2011","29/12/2011 14:36:00","Altera o art. 2º da Lei nº 10.555, de 13 de novembro de 2002, que ""autoriza condições especiais para o crédito de valores iguais ou inferiores a R$ 100,00, de que trata a Lei Complementar nº 110, de 29 de junho de 2001, e dá outras providências"".","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","5","Proposição Sujeita à Apreciação do Plenário","Senado Federal - Paulo Paim","
      ","
      ","PT        ","RS","14/02/2012 14:57:00","Às Comissões de 
Trabalho, de Administração e Serviço Público; 
Finanças e Tributação (Mérito e Art. 54, RICD) e 
Constituição e Justiça e de Cidadania (Art. 54 RICD). 
Apense-se a este PL-3380/2004. Em decorrência da apensação, este projeto segue diretamente para a CCJC, onde se encontra o PL 3380/04.
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Prioridade
","907","Aguardando Designação de Relator","2003","CCJC      ","0","
        "
"533506","PL 3078/2011","3078","2011","26/12/2011 11:18:00","Altera o Decreto nº 2.784, de 18 de junho de 1913, para restabelecer os fusos horários do Estado do Acre e do Estado do Amazonas.","Revoga a Lei nº 11.662, de 2008.","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Poder Executivo","
      ","
      ","
      ","
      ","14/02/2012 14:57:00","Às Comissões de 
Ciência e Tecnologia, Comunicação e Informática e 
Constituição e Justiça e de Cidadania (Art. 54 RICD).
Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II
Regime de Tramitação: Prioridade
","1140","Transformado em Norma Jurídica","4","MESA      ","0","
        "
"533502","PL 3077/2011","3077","2011","23/12/2011 14:59:00","Dispõe sobre o regime de trabalho dos empregados nas atividades de operação e manutenção e em outras necessárias ao funcionamento das usinas nucleoelétricas.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Senado Federal - Delcídio do Amaral","
      ","
      ","PT        ","MS","23/03/2012 16:15:00","
[ATUALIZAÇÃO DO DESPACHO DO PL N. 3077/2011: À CSSF, CME, CTASP e CCJC (art. 54, RICD). Proposição sujeita à apreciação conclusiva pelas Comissões – Art. 24 II. Regime de tramitação: Prioridade.]
","924","Pronta para Pauta","2015","CTASP     ","0","
        "
"533501","PL 3076/2011","3076","2011","23/12/2011 14:46:00","Altera a Lei n° 8.080, de 19 de setembro de 1990 (Lei Orgânica da Saúde), para assegurar o direito às cirurgias plásticas conetivas ou reparadoras no âmbito do Sistema Unico de Saúde (SUS).
","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","21","Urgência (Art. 155, RICD)","5","Proposição Sujeita à Apreciação do Plenário","Senado Federal - Gim Argello","
      ","
      ","PTB       ","DF","31/01/2012 12:15:00","Apense-se à(ao) PL-2740/2000.
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Prioridade
","923","Arquivada","4","MESA      ","18562","PL 2740/2000"
"533499","PL 3075/2011","3075","2011","23/12/2011 13:38:00","Altera a Lei nº 11.265, de 3 de janeiro de 2006, que ""regulamenta a comercialização de alimentos para lactentes e crianças de primeira infância e também a de produtos de puericultura correlatos"", para proibir a comercialização e a oferta de mamadeiras, bicos e chupetas que contenham bisfenol-A (4,4’-isopropilidenodifenol)  em sua composição.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Senado Federal - Gim Argello - PTB - DF","
      ","
      ","PTB       ","DF","14/02/2012 14:57:00","Às Comissões de 
Desenvolvimento Econômico, Indústria e Comércio; 
Seguridade Social e Família e 
Constituição e Justiça e de Cidadania (Art. 54 RICD).
Apense-se a este PL-5831/2009.
Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II
Regime de Tramitação: Prioridade
","907","Aguardando Designação de Relator","2014","CSSF      ","0","
        "
"533407","PL 3074/2011","3074","2011","22/12/2011 16:23:00","Altera a Lei nº 9.279, de 14 de maio de 1996, que ""regula direitos e obrigações relativos à propriedade industrial"".","Define sinais não registráveis como marca.
Define crimes de concorrência desleal.","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","5","Proposição Sujeita à Apreciação do Plenário","Senado Federal - Atonio Carlos Valadares -","
      ","
      ","PSB       ","SE","14/02/2012 14:57:00","Às Comissões de 
Desenvolvimento Econômico, Indústria e Comércio e 
Constituição e Justiça e de Cidadania (Mérito e Art. 54, RICD)
Proposição Sujeita à Apreciação do Plenário
Regime de Tramitação: Prioridade
","907","Aguardando Designação de Relator","2003","CCJC      ","0","
        "
"533197","PL 3073/2011","3073","2011","21/12/2011 19:16:41","Acrescenta inciso ao artigo 13º da Lei nº 10.753, de 30 de outubro de 2003, que ""institui a Política Nacional do Livro"".","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Aguinaldo Ribeiro","160527","115","PP        ","PB","08/03/2013","DECISÃO DA PRESIDÊNCIA: Tendo em vista a edição da Resolução da Câmara dos Deputados n. 21, de 27 de fevereiro de 2013, que “Altera o inciso IX e acrescenta inciso XXI ao art. 32 do Regimento Interno da Câmara dos Deputados, para desmembrar as competências da atual Comissão de Educação e Cultura”, criando a Comissão de Educação e a Comissão de Cultura, revejo o despacho de distribuição aposto aos Projetos de Lei ns. 1025/1995, 1557/1999, 4047/2001, 6106/2002, 7075/2002, 1429/2007, 1757/2007, 2242/2007, 2772/2008, 4124/2008, 4132/2008, 4768/2009, 5559/2009, 5767/2009, 6060/2009, 6117/2009, 6303/2009, 6533/2009, 6541/2009, 6603/2009, 7534/2010, 7549/2010, 7706/2010, 7722/2010, 7755/2010, 7817/2010, 7834/2010, 7852/2010, 7913/2010, 3/2011, 58/2011, 197/2011, 477/2011, 615/2011, 616/2011, 630/2011, 664/2011, 759/2011, 769/2011, 783/2011, 872/2011, 926/2011, 968/2011, 1096/2011, 1176/2011, 1206/2011, 1276/2011, 1311/2011, 1321/2011, 1332/2011, 1402/2011, 1439/2011, 1456/2011, 1513/2011, 1514/2011, 1641/2011, 1662/2011, 1769/2011, 1771/2011, 1791/2011, 1815/2011, 1936/2011, 1949/2011, 2008/2011, 2175/2011, 2305/2011, 2387/2011, 2475/2011, 2490/2011, 2555/2011, 2556/2011, 2671/2011, 2728/2011, 2751/2011, 2776/2011, 2787/2011, 2792/2011, 2910/2011, 3008/2011, 3022/2011, 3023/2011, 3073/2011, 3096/2012, 3102/2012, 3133/2012, 3150/2012, 3199/2012, 3342/2012, 3435/2012, 3514/2012, 3562/2012, 3629/2012, 3632/2012, 3642/2012, 3648/2012, 3681/2012, 3694/2012, 3695/2012, 3705/2012, 3716/2012, 3727/2012, 3744/2012, 3766/2012, 3775/2012, 3819/2012, 3890/2012, 3931/2012, 3953/2012, 3960/2012, 3961/2012, 3983/2012, 4019/2012, 4039/2012, 4072/2012, 4085/2012, 4125/2012, 4126/2012, 4129/2012, 4160/2012, 4176/2012, 4181/2012, 4203/2012, 4234/2012, 4280/2012, 4281/2012, 4319/2012, 4349/2012, 4392/2012, 4397/2012, 4534/2012, 4543/2012, 4621/2012, 4647/2012, 4739/2012, 4780/2012, 4794/2012, 4810/2012, 4811/2012, 4850/2012, 4855/2012, 4878/2012, 4880/2012, 4903/2012, 4928/2013, 4956/2013 e 4992/2013, para o fim de determinar sua redistribuição à Comissão de Cultura, em substituição à Comissão de Educação e Cultura, extinta pela mesma Resolução. Publique-se. Oficie-se.","926","Aguardando Apreciação pelo Senado Federal","4","MESA      ","0","
        "
"533196","PL 3072/2011","3072","2011","21/12/2011 19:16:19","Altera a Lei nº7.713, de 22 de dezembro de 1988, para equiparar o percentual incidente sobre o rendimento bruto do transportador autônomo de cargas para apuração da base de cálculo do imposto de renda pessoa física ao aplicado na legislação previdenciária.
","Reduz para vinte por cento do rendimento bruto.","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Aguinaldo Ribeiro","160527","115","PP        ","PB","06/02/2012 11:16:00","Apense-se ao PL-2072/2011.
Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II
Regime de Tramitação: Ordinária
","925","Tramitando em Conjunto","2010","CFT       ","516677","PL 2072/2011"
