"id","nome","numero","ano","datApresentacao","txtEmenta","txtExplicacaoEmenta","qtdAutores","indGenero","qtdOrgaosComEstado","tipoProposicao.id","tipoProposicao.sigla","tipoProposicao.nome","orgaoNumerador.id","orgaoNumerador.sigla","orgaoNumerador.nome","codRegime","txtRegime","apreciacao.id","txtApreciacao","txtNomeAutor","idecadastro","codPartido","txtSiglaPartido","txtSiglaUF","datDespacho","txtDespacho","situacao.id","situacao.descricao","codOrgaoEstado","siglaOrgaoEstado","codProposicaoPrincipal","proposicaoPrincipal"
"2122076","PL 6787/2016","6787","2016","23/12/2016 16:38:00","Altera o Decreto-Lei nº 5.452, de 1º de maio de 1943 - Consolidação das Leis do Trabalho, e a Lei nº 6.019, de 3 de janeiro de 1974, para dispor sobre eleições de representantes dos trabalhadores no local de trabalho e sobre trabalho temporário, e dá outras providências.

NOVA EMENTA: Altera a Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, e as Leis nºs 6.019, de 3 de janeiro de 1974, 8.036, de 11 de maio de 1990, e 8.212, de 24 de julho de 1991, a fim de adequar a legislação às novas relações de trabalho.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","21","Urgência (Art. 155, RICD)","5","Proposição Sujeita à Apreciação do Plenário","Poder Executivo","
      ","
      ","
      ","
      ","03/02/2017","Constitua-se Comissão Especial, nos termos do artigo 34, inciso II, do RICD, tendo em vista a competência das seguintes Comissões: Seguridade Social e Família; Desenvolvimento Econômico, Indústria, Comércio e Serviços; Trabalho, de Administração e Serviço Público e Constituição e Justiça e de Cidadania (Mérito e Art. 54, RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Prioridade (Art. 151, II, RICD)","1140","Transformado em Norma Jurídica","4","MESA      ","0","
        "
"2122034","PL 6785/2016","6785","2016","21/12/2016 16:52:00","Altera o § 1º do art. 2º da Lei nº 7.116 de 1983, para garantir isonomia entre homens e mulheres quando da solicitação de Carteira de Identidade.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Alessandro Molon","160511","225","REDE      ","RJ","04/01/2017 09:46:00","Às Comissões de Segurança Pública e Combate ao Crime Organizado e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)","924","Pronta para Pauta","2003","CCJC      ","0","
        "
"2122035","PL 6786/2016","6786","2016","21/12/2016 16:52:00","Regulamenta o art. 97 da Lei n. 13.105, de 16 de março de 2015 (Código de Processo Civil), no âmbito da União, cria o Fundo de Modernização do Poder Judiciário da União e dá outras providências.  
","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Alessandro Molon","160511","225","REDE      ","RJ","04/01/2017 14:33:00","Às Comissões de Trabalho, de Administração e Serviço Público; Finanças e Tributação (Mérito e Art. 54, RICD) e Constituição e Justiça e de Cidadania (Mérito e Art. 54, RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)","924","Pronta para Pauta","2015","CTASP     ","0","
        "
"2122005","PL 6783/2016","6783","2016","21/12/2016 11:50:00","Altera a Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), para dispor sobre a faculdade dos sócios estipularem contratualmente a responsabilidade solidária face às obrigações sociais, e dá outras providências.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Carlos Bezerra","141401","111","PMDB      ","MT","04/01/2017 11:14:00","Às Comissões de Desenvolvimento Econômico, Indústria, Comércio e Serviços e Constituição e Justiça e de Cidadania (Mérito e Art. 54, RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)","907","Aguardando Designação de Relator","2003","CCJC      ","0","
        "
"2122006","PL 6784/2016","6784","2016","21/12/2016 11:50:00","Acrescenta artigo à Consolidação das Leis do Trabalho, aprovada pelo Decreto-lei nº 5.452, de 1º de maio de 1943, para dispor sobre o afastamento do trabalho durante o período menstrual da empregada.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Carlos Bezerra","141401","111","PMDB      ","MT","05/01/2017 11:15:00","Às Comissões de Defesa dos Direitos da Mulher; Desenvolvimento Econômico, Indústria, Comércio e Serviços; Trabalho, de Administração e Serviço Público e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)","915","Aguardando Parecer","2008","CDEICS    ","0","
        "
"2122004","PL 6782/2016","6782","2016","21/12/2016 11:45:00","Altera os artigos 26, 28, 29 e 44 da Lei nº 8.935, de 18 de novembro de 1994, que ""Regulamenta o art. 236 da Constituição Federal, dispondo sobre serviços notariais e de registro (Lei dos cartórios)"", para assegurar o direito constitucional ao habilitado em concurso público de provas e títulos, delegatários de serventias extrajudiciais deficitárias, à acumulação ou anexação dos serviços, em razão do volume dos serviços ou da receita, ou ainda, em razão do desinteresse ou inexistência de candidatos. Estabelecer a estes profissionais do direito uma renda digna, através de um fundo nacional, que se constituíra por meio da contribuição mensal, suportada pelos próprios notários e registradores e destinado à complementação de receita bruta mínima.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Hildo Rocha","178884","111","PMDB      ","MA","13/02/2017 14:59:00","Apense-se à(ao) PL-7975/2014. Em razaõ desta apensação, a CFT deverá ser incluída na distribuição para que se pronuncie quanto ao mérito da matéria e Art. 54 do RICD, devido a criação de fundo prevista no Art. 28 § 6º do PL 6782/2016. Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)","925","Tramitando em Conjunto","2015","CTASP     ","622643","PL 7975/2014"
"2121958","PL 6781/2016","6781","2016","20/12/2016 18:33:00","Dispõe sobre a eleição indireta para Presidente e Vice-Presidente da República nos termos do §1º do art. 81 da Constituição Federal, e dá outras providências.

","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","5","Proposição Sujeita à Apreciação do Plenário","Marcos Rogério","167722","202","DEM       ","RO","04/01/2017 15:29:00","Apense-se à(ao) PL-1292/1999. Proposição Sujeita à Apreciação do Plenário. Regime de Tramitação: Prioridade (Art. 151, II, RICD)","925","Tramitando em Conjunto","180","PLEN      ","16527","PL 1292/1999"
"2121952","PL 6780/2016","6780","2016","20/12/2016 17:52:00","Acrescenta novo dispositivo à Lei nº 11.079, de 30 de dezembro de 2004, que institui a Lei de Parcerias Público-Privadas e dá outras providências.","Trata da exclusão definitiva do valor do aporte de recursos no âmbito das Parcerias Púbico-Privadas da base de cálculo da Contribuição Previdenciária sobre a Receita Bruta (CPRB). 

","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","20","Prioridade (Art. 151, II, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Roberto de Lucena","160653","140","PV        ","SP","04/01/2017 13:39:00","Apense-se à(ao) PL-1650/2015. Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)","925","Tramitando em Conjunto","2015","CTASP     ","1280204","PL 1650/2015"
"2121941","PL 6776/2016","6776","2016","20/12/2016 17:35:00","Institui o programa de destinação dos medicamentos vencidos","Altera a Lei nº 12.305, de 2010. ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Mariana Carvalho","178956","128","PSDB      ","RO","04/01/2017 15:25:00","Apense-se à(ao) PL-7064/2014. Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)","925","Tramitando em Conjunto","2014","CSSF      ","605601","PL 7064/2014"
"2121942","PL 6777/2016","6777","2016","20/12/2016 17:35:00","Obriga a divulgação de mensagem de incentivo a doação de sangue em produções cinematográficas patrocinadas pelo Governo Federal.","
    ","1","o","1","139","PL","Projeto de Lei","180","PLEN      ","PLENÁRIO","14","Ordinária (Art. 151, III, RICD)","4","Proposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II","Mariana Carvalho","178956","128","PSDB      ","RO","04/01/2017 09:46:00","Às Comissões de Cultura e Constituição e Justiça e de Cidadania (Art. 54 RICD) - Art. 24, IIProposição Sujeita à Apreciação Conclusiva pelas Comissões - Art. 24 II. Regime de Tramitação: Ordinária (Art. 151, III, RICD)","907","Aguardando Designação de Relator","2003","CCJC      ","0","
        "
